Pollutants
	city: Ciudad de M&eacute;xico,averages ps
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2022/01/01 al 2022/11/11
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
14/01/2022,BJU,PM10,40,2
14/01/2022,BJU,PM2.5,22,2
14/01/2022,INN,PM10,21,2
14/01/2022,INN,PM2.5,12,2
14/01/2022,FAR,PM2.5,20,2
14/01/2022,SAC,PM2.5,34,2
15/01/2022,MON,PM2.5,24,2
15/01/2022,CHO,PM10,69,2
15/01/2022,CUA,PM10,32,2
15/01/2022,CUT,PM10,69,2
15/01/2022,FAC,PM10,55,2
15/01/2022,MER,PM10,40,2
15/01/2022,MER,PM2.5,23,2
15/01/2022,NEZ,PM10,61,2
15/01/2022,NEZ,PM2.5,39,2
15/01/2022,SAG,PM10,56,2
15/01/2022,SAG,PM2.5,27,2
15/01/2022,SFE,PM10,31,2
15/01/2022,SFE,PM2.5,15,2
15/01/2022,TAH,PM10,51,2
15/01/2022,TLA,PM10,63,2
15/01/2022,TLA,PM2.5,24,2
15/01/2022,TLI,PM10,87,2
15/01/2022,UAX,PM2.5,26,2
15/01/2022,UIZ,PM10,53,2
15/01/2022,UIZ,PM2.5,25,2
15/01/2022,VIF,PM10,100,2
15/01/2022,CCA,PM2.5,17,2
15/01/2022,BJU,PM10,39,2
15/01/2022,BJU,PM2.5,21,2
15/01/2022,INN,PM10,23,2
15/01/2022,INN,PM2.5,11,2
15/01/2022,FAR,PM2.5,28,2
15/01/2022,SAC,PM2.5,32,2
16/01/2022,AJU,PM2.5,19,2
16/01/2022,MON,PM2.5,26,2
16/01/2022,CHO,PM10,69,2
16/01/2022,CUA,PM10,42,2
16/01/2022,FAC,PM10,58,2
16/01/2022,MER,PM10,51,2
16/01/2022,MER,PM2.5,37,2
16/01/2022,NEZ,PM10,53,2
16/01/2022,NEZ,PM2.5,38,2
16/01/2022,PED,PM10,42,2
16/01/2022,PED,PM2.5,31,2
16/01/2022,SAG,PM10,38,2
16/01/2022,SAG,PM2.5,27,2
16/01/2022,TAH,PM10,57,2
16/01/2022,TLA,PM10,54,2
16/01/2022,TLA,PM2.5,29,2
16/01/2022,TLI,PM10,53,2
16/01/2022,UAX,PM2.5,34,2
16/01/2022,UIZ,PM10,52,2
16/01/2022,UIZ,PM2.5,31,2
16/01/2022,VIF,PM10,50,2
16/01/2022,CCA,PM2.5,28,2
16/01/2022,BJU,PM10,49,2
16/01/2022,BJU,PM2.5,36,2
16/01/2022,INN,PM10,20,2
16/01/2022,INN,PM2.5,14,2
16/01/2022,FAR,PM2.5,27,2
16/01/2022,SAC,PM2.5,36,2
17/01/2022,AJU,PM2.5,14,2
17/01/2022,MON,PM2.5,14,2
17/01/2022,CHO,PM10,44,2
17/01/2022,CUA,PM10,23,2
17/01/2022,MER,PM10,30,2
17/01/2022,MER,PM2.5,22,2
17/01/2022,NEZ,PM10,35,2
17/01/2022,NEZ,PM2.5,20,2
17/01/2022,PED,PM10,30,2
17/01/2022,PED,PM2.5,21,2
17/01/2022,SAG,PM10,31,2
17/01/2022,SAG,PM2.5,20,2
17/01/2022,TAH,PM10,35,2
17/01/2022,TLA,PM10,40,2
17/01/2022,TLA,PM2.5,20,2
17/01/2022,TLI,PM10,38,2
17/01/2022,UAX,PM2.5,17,2
17/01/2022,UIZ,PM10,35,2
17/01/2022,UIZ,PM2.5,20,2
17/01/2022,CCA,PM2.5,15,2
17/01/2022,BJU,PM10,31,2
17/01/2022,BJU,PM2.5,22,2
17/01/2022,INN,PM10,19,2
17/01/2022,INN,PM2.5,13,2
17/01/2022,FAR,PM2.5,17,2
17/01/2022,SAC,PM2.5,24,2
18/01/2022,AJU,PM2.5,13,2
18/01/2022,MON,PM2.5,21,2
18/01/2022,CHO,PM10,69,2
18/01/2022,CUA,PM10,27,2
18/01/2022,FAC,PM10,40,2
18/01/2022,MER,PM10,37,2
18/01/2022,MER,PM2.5,25,2
18/01/2022,NEZ,PM10,43,2
18/01/2022,NEZ,PM2.5,23,2
18/01/2022,PED,PM10,31,2
18/01/2022,PED,PM2.5,21,2
18/01/2022,SAG,PM10,33,2
18/01/2022,SAG,PM2.5,19,2
18/01/2022,TAH,PM10,43,2
18/01/2022,TLA,PM10,53,2
18/01/2022,TLA,PM2.5,25,2
18/01/2022,TLI,PM10,59,2
18/01/2022,UAX,PM2.5,20,2
18/01/2022,UIZ,PM10,47,2
18/01/2022,UIZ,PM2.5,25,2
18/01/2022,CCA,PM2.5,16,2
18/01/2022,BJU,PM10,37,2
18/01/2022,BJU,PM2.5,24,2
18/01/2022,INN,PM10,19,2
18/01/2022,INN,PM2.5,13,2
18/01/2022,FAR,PM2.5,19,2
18/01/2022,SAC,PM2.5,27,2
19/01/2022,AJU,PM2.5,18,2
19/01/2022,MON,PM2.5,26,2
19/01/2022,CHO,PM10,71,2
19/01/2022,CUA,PM10,33,2
19/01/2022,CUT,PM10,58,2
19/01/2022,FAC,PM10,43,2
19/01/2022,MER,PM10,46,2
19/01/2022,MER,PM2.5,31,2
19/01/2022,NEZ,PM10,54,2
19/01/2022,NEZ,PM2.5,30,2
19/01/2022,PED,PM10,34,2
